PLCKESZ,z,M500,E_M500,e_M500,Mg500,E_Mg500,e_Mg500,kT,E_kT,e_kT,kTexc,E_kTexc,e_kTexc,LX,E_LX,e_LX,LXexc,E_LXexc,e_LXexc,Lbol,E_Lbol,e_Lbol,Lbolexc,E_Lbolexc,e_Lbolexc,NT,fT,Nsb,fsb,Simbad,NED
G306.80+58.60,0.085,4.6,0.26,0.16,5.82,0.14,0.09,5.64,0.11,0.11,5.58,0.15,0.15,4.46,0.07,0.07,2.61,0.04,0.04,10.62,0.22,0.22,6.23,0.1,0.1,17,0.98,72,1.04,Simbad,NED
G308.32-20.23,0.48,8.61,1.22,0.98,10.52,0.57,0.48,8.95,0.84,0.84,7.4,0.7,0.7,17.31,1.14,1.14,10.39,0.43,0.43,67.99,7.98,7.98,40.9,3.79,3.79,3,0.66,21,0.66,Simbad,NED
G313.36+61.11,0.183,7.87,0.1,0.09,10.53,0.07,0.06,8.6,0.08,0.08,8.26,0.11,0.11,12.82,0.13,0.13,5.47,0.14,0.14,37.61,0.68,0.68,16.14,0.13,0.13,9,0.98,80,1.01,Simbad,NED
G313.87-17.10,0.153,8.24,0.25,0.23,10.78,0.13,0.13,8.43,0.15,0.15,8.15,0.24,0.24,11.1,0.33,0.33,5.57,0.15,0.15,31.84,1.6,1.6,15.91,0.77,0.77,11,0.91,61,0.91,Simbad,NED
G318.13-29.57,0.217,5.59,0.64,0.57,7.43,0.4,0.38,5.96,0.66,0.66,5.17,0.93,0.93,7.39,0.56,0.56,4.4,0.29,0.29,22.1,3.07,3.07,13.15,1.67,1.67,2,0.83,4,1.11,Simbad,NED
G321.96-47.97,0.094,3.95,0.29,0.23,4.83,0.17,0.14,4.6,0.11,0.11,4.43,0.14,0.14,3.1,0.09,0.09,2.33,0.05,0.05,6.51,0.23,0.23,4.91,0.15,0.15,19,0.84,52,1.12,Simbad,NED
G324.49-44.97,0.095,3.09,0.4,0.19,3.47,0.2,0.1,4.08,0.12,0.12,4.16,0.18,0.18,1.85,0.08,0.08,1.26,0.04,0.04,3.46,0.2,0.2,2.36,0.11,0.11,10,0.99,37,1.08,Simbad,NED
G332.23-46.36,0.098,5.09,0.15,0.1,7.06,0.08,0.06,6.13,0.09,0.09,5.95,0.12,0.12,4.71,0.11,0.11,3.09,0.06,0.06,11.37,0.34,0.34,7.48,0.2,0.2,17,1.04,102,1.08,Simbad,NED
G332.88-19.28,0.147,6.22,0.38,0.33,7.74,0.21,0.19,6.02,0.77,0.77,5.48,1.09,1.09,4.55,0.19,0.19,3.09,0.11,0.11,11.06,0.82,0.82,7.51,0.5,0.5,6,0.47,13,0.58,Simbad,NED
G335.59-46.46,0.076,3.53,0.74,0.56,4.61,0.54,0.44,4.17,1.2,1.2,3.95,1.36,1.36,4.19,0.32,0.32,3.53,0.25,0.25,10.13,0.94,0.94,8.55,0.75,0.75,22,0.92,23,0.92,Simbad,NED
G336.59-55.44,0.097,3.78,0.71,0.52,4.88,0.46,0.36,4.69,0.24,0.24,4.48,0.26,0.26,2.53,0.1,0.1,2.04,0.05,0.05,5.36,0.26,0.26,4.32,0.15,0.15,20,1.05,23,1.19,Simbad,NED
G337.09-25.97,0.26,5.75,0.5,0.41,8.94,0.34,0.3,5.67,0.22,0.22,5.86,0.36,0.36,6.57,0.25,0.25,3.61,0.06,0.06,14.33,0.8,0.8,7.87,0.28,0.28,5,0.56,21,1.16,Simbad,NED
G342.31-34.90,0.232,6.85,0.74,0.62,9.49,0.45,0.4,6.48,1.07,1.07,6.35,1.33,1.33,4.64,0.44,0.44,3.64,0.35,0.35,13.17,2.16,2.16,10.34,1.71,1.71,2,0.59,13,0.92,Simbad,NED
G347.18-27.35,0.237,8.24,0.63,0.73,11.07,0.43,0.5,8.31,0.4,0.4,8.16,0.51,0.51,5.63,0.31,0.31,4.56,0.19,0.19,15.15,1.21,1.21,12.25,0.81,0.81,8,0.96,24,1.21,Simbad,NED
G349.46-59.94,0.347,13.59,0.68,0.65,22.38,0.44,0.42,10.3,0.22,0.22,10.6,0.31,0.31,27.09,0.38,0.38,13.37,0.03,0.03,86.74,2.35,2.35,42.79,0.39,0.39,7,1.0,47,1.14,Simbad,NED
