name,Tx_300kpc,Tx_300kpc-,Tx_300kpc+,Lx52_300kpc,Lx52_300kpc-,Lx52_300kpc+,Lxbol_300kpc,Lxbol_300kpc-,Lxbol_300kpc+
XLSSC-521,4.36329,0.5751515199999999,0.6562849489999998,8.823814859000001e+43,1.0433223740617071e+43,1.147958214624301e+43,2.6684489990000004e+44,3.745129255917533e+43,2.1455105892754422e+43
XLSSC-505,1.79496,0.0773274590000001,0.0886430959999999,4.6633299530000005e+42,1.2543608798022e+41,1.6762138021441002e+41,1.0150888e+43,4.232424702994001e+41,3.1826805951898004e+41
XLSSC-506,2.37566,0.5307174539999999,1.0871119030000005,6.674814068000001e+43,8.4846120374044e+42,1.509918341051287e+43,1.536270826e+44,2.363982875171932e+43,2.503381768876884e+43
XLSSC-546,2.75779,0.4737454259999998,0.654766623,1.003847312e+44,2.0730275201157583e+43,2.0848410028754874e+43,2.4453621230000005e+44,5.032865246536048e+43,6.595062449559919e+43
XLSSC-512,3.15589,0.3350210279999999,0.4071130250000001,2.156654709e+43,2.1296649786220803e+42,2.5175897154404404e+42,5.643433986000001e+43,7.08258353992695e+42,5.341372764634051e+42
XLSSC-520,2.62503,0.1470855230000003,0.1658328619999998,1.6562562080000002e+43,5.8517908879511e+41,5.250146961702201e+41,4.0732765710000003e+43,1.8108626468286302e+42,1.82650896976229e+42
XLSSC-532,2.93788,0.4136640969999998,0.5697885580000004,2.756489459e+43,3.17982309552592e+42,3.88504806931338e+42,6.995075452000001e+43,1.293083753839752e+43,8.20576069004874e+42
XLSSC-519,1.45828,0.1423097040000001,0.1965834099999999,6.683517328e+42,1.2410395216476102e+42,1.5149330707064603e+42,1.34726866e+43,2.4598092398490002e+42,2.5913006197096302e+42
XLSSC-524,2.76424,0.3771014539999999,0.497993509,1.1072445820000002e+43,1.50970361372963e+42,2.0445993750932602e+42,2.7674441030000003e+43,5.1651653949184505e+42,3.9003779339334805e+42
XLSSC-542,7.10845,0.3253738630000002,0.3689534759999997,2.3201230500000002e+44,5.2334896113425e+42,5.54253943691322e+42,9.086353172000002e+44,2.5501537824628953e+43,2.58569909938302e+43
XLSSC-507,2.61198,0.6779814659999999,1.2084943200000002,2.395908789e+43,5.256069874620921e+42,7.366353577543422e+42,5.754911914000001e+43,1.3459465689153052e+43,1.256900633339818e+43
XLSSC-549,4.66128,0.4460282589999993,0.4726247700000003,7.723743972000001e+43,2.83869508807766e+42,4.27436657079506e+42,2.4175626060000006e+44,1.3957911046009532e+43,1.473965428469014e+43
XLSSC-516,3.4193,0.3577779379999999,0.4255539400000003,7.981952424000001e+43,6.673965941823072e+42,5.530240518710541e+42,2.1353421950000002e+44,1.591707676010719e+43,1.728928435819769e+43
XLSSC-537,4.74687,0.9424042720000004,1.401746107999999,4.802972959000001e+43,5.5639098974628705e+42,5.83769611117497e+42,1.525476042e+44,2.3981295706869993e+43,1.611458531103924e+43
XLSSC-548,1.05492,0.1193949437,0.160226591,7.193905638000002e+42,2.3811650294769502e+42,1.5825139370963402e+42,1.2590267290000002e+43,2.64564915094394e+42,2.89423762565297e+42
XLSSC-538,3.39482,0.6885950150000002,1.0639346969999997,1.2075588e+43,1.3749246836891201e+42,1.47270051601288e+42,3.2704707640000006e+43,4.662452740687881e+42,5.38226025095327e+42
XLSSC-543,2.74008,0.3133401339999997,0.3882431950000002,1.24933278e+43,1.1540165196735201e+42,1.62739579915712e+42,3.0811296840000003e+43,3.99090243205172e+42,3.9109216822111503e+42
XLSSC-541,2.26517,0.2038775889999997,0.254731053,8.79475223e+42,9.4471009820313e+41,9.6809316209763e+41,2.0396616540000002e+43,2.99829925108127e+42,3.4509376932679204e+42
XLSSC-508,3.47767,0.461643982,0.57108398,5.919905879000001e+43,5.93766471086112e+42,4.9600807106226306e+42,1.6116387460000001e+44,2.299336720667765e+43,1.730084149428419e+43
XLSSC-540,2.69518,0.2756745020000002,0.3174329029999998,3.8121175480000006e+43,2.0583505242071002e+42,1.7435246741924202e+42,9.329326613e+43,6.975082278174212e+42,6.23772386171353e+42
XLSSC-539,2.27604,0.484597498,0.763261988,4.9169676070000005e+42,3.2643356353532002e+41,7.191553914088501e+41,1.1486299460000002e+43,1.24264510953052e+42,2.38903698301699e+42
XLSSC-509,3.35178,0.6213768170000002,0.8900113109999999,5.939652707000001e+43,8.616632472513911e+42,5.14380223832968e+42,1.585025921e+44,2.5573953090546885e+43,9.656387116744751e+42
XLSSC-510,2.23399,0.2576351489999999,0.3419496680000002,2.1228248810000003e+43,1.5448383195822302e+42,1.7670861045482702e+42,4.840276659e+43,4.4223387306860503e+42,3.22471406230224e+42
XLSSC-511,1.86762,0.2008462319999999,0.2491097529999999,3.223663632e+42,2.0360829059107002e+41,3.2749843473019e+41,7.078682819e+42,5.7384881703945e+41,8.0076429164529e+41
