name,Tx_500,Tx_500-,Tx_500+,Lx52_500,Lx52_500-,Lx52_500+,Lxbol_500,Lxbol_500-,Lxbol_500+,Tx_500ce,Tx_500ce-,Tx_500ce+,Lx52_500ce,Lx52_500ce-,Lx52_500ce+,Lxbol_500ce,Lxbol_500ce-,Lxbol_500ce+,Tx_500wl,Tx_500wl-,Tx_500wl+,Lx52_500wl,Lx52_500wl-,Lx52_500wl+,Lxbol_500wl,Lxbol_500wl-,Lxbol_500wl+,Tx_500wlce,Tx_500wlce-,Tx_500wlce+,Lx52_500wlce,Lx52_500wlce-,Lx52_500wlce+,Lxbol_500wlce,Lxbol_500wlce-,Lxbol_500wlce+
Abell0963,6.52182,0.1132874299999997,0.1126015789999996,3.975083655000001e+44,2.39199940991355e+42,2.7643313701578805e+42,1.4852929860000002e+45,1.666540589523686e+43,1.498488777541163e+43,6.74625,0.1690600199999998,0.1892224750000002,2.349833898e+44,1.3878846192323601e+42,1.7377722019102904e+42,8.913861356e+44,1.3619961640520651e+43,1.357629631693303e+43,6.73062,0.1134120980000004,0.1141404550000002,4.149280223e+44,2.6847635742554804e+42,2.88549492907688e+42,1.5746297340000003e+45,1.170654213915289e+43,1.440709760851821e+43,7.24564,0.1943148009999999,0.1887277210000002,2.3542753570000003e+44,2.0852675501032302e+42,2.52372903906803e+42,9.251074639000002e+44,1.353502327375497e+43,1.1536817716131071e+43
ZwCl1021.0+0426,5.96279,0.0230097100000001,0.0230522229999996,1.2025944580000002e+45,3.9784790850931706e+42,3.12982771824862e+42,4.318445558e+45,1.706889094212494e+43,2.046486755921154e+43,6.97554,0.0609766809999996,0.0610484430000006,4.661618658000001e+44,2.6175925516620803e+42,3.4130403151429106e+42,1.8022853920000002e+45,1.164343027562327e+43,1.441545582837697e+43,5.96932,0.0224854069999995,0.0225328560000006,1.1808667840000001e+45,3.48088614215066e+42,5.0025032228280006e+42,4.242133025e+45,1.524056704009082e+43,1.550789602974555e+43,6.93804,0.0550570070000002,0.0551713229999997,5.001250838000001e+44,1.98249255126755e+42,3.00316645620228e+42,1.927640408e+45,1.348991131471252e+43,1.568670898277935e+43
Abell1451,9.14068,0.303508871,0.3417856189999995,3.7570572010000004e+44,3.7788924451592305e+42,3.5557106744713e+42,1.637516405e+45,3.3742193036098477e+43,3.1461704975134955e+43,9.43339,0.4158846539999992,0.4679266179999999,2.843399248e+44,3.87150837057949e+42,3.17171537466218e+42,1.2552650310000002e+45,3.2859860078279794e+43,2.552368457683923e+43,9.14068,0.303508871,0.3417856189999995,3.7570572010000004e+44,3.7788924451592305e+42,3.5557106744713e+42,1.637516405e+45,3.3742193036098477e+43,3.1461704975134955e+43,9.43339,0.4158846539999992,0.4679266179999999,2.843399248e+44,3.87150837057949e+42,3.17171537466218e+42,1.2552650310000002e+45,3.2859860078279794e+43,2.552368457683923e+43
ZwCl1231.4+1007,4.81178,0.1047573329999993,0.1196542000000002,2.487251297e+44,2.31981469822816e+42,1.76340437466163e+42,7.972951885e+44,8.842845837159111e+42,1.082316548923078e+43,4.72695,0.1121418680000001,0.1122786619999995,2.1879821370000002e+44,1.6193065273917002e+42,2.61535605792868e+42,6.960256655000001e+44,6.708916896326051e+42,9.409918757132801e+42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Abell1689,8.86366,0.0865479639999993,0.0866350360000005,8.279203173000002e+44,2.27777805514278e+42,2.4817196508192302e+42,3.551387825e+45,1.7907282233760083e+43,1.264062109912059e+43,8.6977,0.1601627739999997,0.1570043430000005,3.716130447e+44,1.9534864094593202e+42,1.4159484980469703e+42,1.5808665770000002e+45,1.5651421935836631e+43,1.1376501921009741e+43,8.85201,0.0873076459999993,0.0873913179999998,8.333010743000002e+44,2.3611279470416104e+42,2.58545848829355e+42,3.5712532170000006e+45,1.529323195269465e+43,1.3129807550791282e+43,8.65055,0.1621764670000001,0.1710881229999987,3.657859439e+44,1.65970891791307e+42,1.6845994678580603e+42,1.5515617710000004e+45,1.1099137219386382e+43,1.181434553696192e+43
Abell1758N,8.04659,0.1856055650000003,0.2089066590000001,5.122141043000001e+44,2.7361109029688205e+42,3.9626146812097504e+42,2.1208244200000002e+45,2.1622831223956442e+43,2.661284507814563e+43,8.39071,0.241104872000001,0.2440470149999996,4.125116884e+44,3.84911912969398e+42,2.83284768602026e+42,1.742645378e+45,2.9117537704442684e+43,2.1390807504750273e+43,7.96123,0.1776569139999999,0.179271475000001,4.830759101e+44,3.5394634400346305e+42,3.7915280348184205e+42,1.9929506500000002e+45,1.7226838008570521e+43,2.1579645872865142e+43,8.24934,0.2177589350000008,0.2213266859999993,4.0945622250000005e+44,2.9226387932515903e+42,3.17960187445304e+42,1.718575358e+45,1.9295661855545411e+43,2.0365441178979981e+43
Abell1763,7.67415,0.1876777079999998,0.1918088369999999,5.050739555e+44,3.8212382947475404e+42,4.14702219220355e+42,2.049171196e+45,2.654692406380429e+43,2.221083346640011e+43,7.55394,0.2379848799999999,0.23808453,3.704421332e+44,4.89847754274252e+42,4.0037366662297204e+42,1.4880366320000002e+45,2.0694702086246441e+43,2.6303857334714113e+43,7.30812,0.179848346,0.1908368560000006,5.5692611280000006e+44,4.6297483131874303e+42,5.520052676703101e+42,2.2017730050000002e+45,2.539433421543016e+43,2.684359141773776e+43,6.95881,0.22193824,0.2297291179999998,3.889534759e+44,4.1666087839543805e+42,4.96643234340435e+42,1.4977701240000002e+45,2.516579774470083e+43,2.007004154192682e+43
Abell1835,7.16674,0.0269008900000002,0.0269121459999999,1.3652877520000001e+45,2.84890932550286e+42,3.05868290608497e+42,5.359090824e+45,1.4341381681891673e+43,1.626680494031901e+43,9.15673,0.0805620459999989,0.08469951,4.992892432e+44,2.3649155988038503e+42,2.1312418334529602e+42,2.1973263790000002e+45,1.0686297183037701e+43,1.37738568841874e+43,7.091,0.0266041819999998,0.0266232249999998,1.3439839770000001e+45,2.95366013939072e+42,2.7385977394290804e+42,5.2453637440000005e+45,1.3093657440903862e+43,1.156611486898082e+43,8.85137,0.0815327479999989,0.0815736330000014,5.161467458e+44,2.3595710299380204e+42,1.70158917685145e+42,2.232852177e+45,1.1360841187671142e+43,1.3790327145729e+43
Abell1914,9.52748,0.1310056920000004,0.1311757789999994,7.1322233000000006e+44,2.7182891614952102e+42,2.3450675766158502e+42,3.1412572e+45,2.1450548122698243e+43,2.294374568281983e+43,9.37715,0.2188233040000007,0.2191252979999998,3.678768627000001e+44,2.4507061501723803e+42,1.8361944734644502e+42,1.607931014e+45,1.8824743235459373e+43,1.449705215871123e+43,9.46779,0.1301711550000011,0.1303240849999998,7.092054603000001e+44,2.84712512658965e+42,2.9929150096096004e+42,3.115207497e+45,1.812520085000963e+43,1.7954492740873062e+43,9.25288,0.2293207009999989,0.2123538660000008,3.7330622480000005e+44,2.0093837681065e+42,2.1470217098438604e+42,1.6230960320000002e+45,1.379066134337818e+43,1.4619291012319642e+43
ZwCl1454.8+2233,4.44888,0.0442037370000001,0.0444197859999997,6.412390815000001e+44,4.0774374185968304e+42,2.34268140046618e+42,1.99054079e+45,1.158100592963551e+43,1.8183821585999672e+43,4.78726,0.1013960179999999,0.1065129780000004,2.396905967e+44,1.9062045618780702e+42,2.6073616688632603e+42,7.711628358e+44,8.237020035023931e+42,1.115110734223555e+43,4.44453,0.0438956270000003,0.0441226629999995,6.348403467e+44,3.4397402533337304e+42,2.5957647286079004e+42,1.9698304100000002e+45,1.012813779864042e+43,1.21258450046152e+43,4.77043,0.0980855380000003,0.1009666409999994,2.434908991e+44,2.1502651360782802e+42,2.1538794971148903e+42,7.819430948e+44,8.448881886457011e+42,7.619701459211651e+42
Abell2009,5.965,0.055933575,0.0559476669999998,4.3804812000000004e+44,1.7066784706475004e+42,1.6926116382126202e+42,1.5694938750000003e+45,8.503956099774351e+42,9.293610259118082e+42,6.14373,0.125583594,0.1280130170000006,2.1314840350000002e+44,1.2684878200746e+42,1.92498293744371e+42,7.698907097e+44,8.08338284337216e+42,9.98121145327809e+42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZwCl1459.4+4240,6.92433,0.2184649960000007,0.232477673,2.941743582e+44,2.6315356302296e+42,3.89549992275704e+42,1.135543641e+45,1.7351685272041061e+43,2.0418702319412442e+43,6.73028,0.2527868049999995,0.2747169960000004,2.35376498e+44,2.0401833192313402e+42,2.7867557754012805e+42,8.943735511e+44,2.0010005971594262e+43,2.0131095379292363e+43,6.8751,0.2023617829999997,0.221099326,2.8520093130000003e+44,2.5112352465041003e+42,3.1914361315418e+42,1.098524157e+45,1.9737378628278412e+43,1.5740292709397022e+43,6.75268,0.2333135219999995,0.2542778100000005,2.3456637940000002e+44,2.5934497930203702e+42,2.3320902258658303e+42,8.942402562000001e+44,1.409341608234288e+43,1.5181727001723643e+43
RXCJ1504.1-0248,6.14556,0.0134985949999997,0.0168067519999999,1.707764219e+45,3.9717264907145006e+42,3.34996341494666e+42,6.179208886e+45,1.0297216958058361e+43,1.898084183514496e+43,7.49004,0.0523882769999994,0.0524742650000007,4.582000088000001e+44,2.35593612040679e+42,2.11176514204529e+42,1.8282776810000003e+45,1.207801223224546e+43,1.229438864284744e+43,6.13797,0.0133481990000001,0.0162972219999995,1.6610078510000003e+45,3.7288199545186705e+42,2.33291809727053e+42,6.003144645e+45,1.4675495295840381e+43,1.115433295072772e+43,7.45615,0.0450908290000002,0.0451641120000001,5.07691221e+44,1.6553287767647202e+42,2.3477721647988803e+42,2.0161856140000003e+45,1.0173480385874721e+43,8.634799848235231e+42
Abell2111,7.39593,0.2540296250000002,0.2525674799999997,2.8718572660000003e+44,2.69576649703954e+42,3.64011062303712e+42,1.1490963640000001e+45,1.757087372651891e+43,2.083450293148792e+43,7.60173,0.3113512919999994,0.3595711069999998,2.2050849530000003e+44,2.06939042209899e+42,2.6335360701104602e+42,8.921477215e+44,2.173683056634598e+43,2.1276868237660303e+43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Abell2204,6.37905,0.024212544,0.024223429,1.139599936e+45,4.2609831377628107e+42,2.96275382968216e+42,4.2247776850000004e+45,1.8366647554099452e+43,1.3863987518092512e+43,7.78664,0.0827157930000002,0.082722371,4.382411874e+44,2.97869401439825e+42,2.4834611483604603e+42,1.778163589e+45,1.542151526335275e+43,1.3103415219717872e+43,6.3921,0.0239888190000003,0.024012935,1.1309793400000002e+45,3.4455419696027706e+42,3.05893353253245e+42,4.196755819e+45,1.826295829104942e+43,1.453032278580202e+43,7.85727,0.0805603000000001,0.0805826850000004,4.380781044e+44,2.8520114581600903e+42,2.87820004032426e+42,1.784268237e+45,1.333906803966185e+43,1.610611373803628e+43
Abell2219,10.6944,0.2751628799999999,0.2842894299999994,1.0091780480000002e+45,6.580307108593771e+42,5.90646993029451e+42,4.7028083440000007e+45,5.893563351836383e+43,6.080303402480352e+43,11.3655,0.42935576,0.4434615899999983,6.443828768000001e+44,6.243391109210801e+42,5.994611436493151e+42,3.094822674e+45,4.229582342019968e+43,5.191522037457202e+43,9.96755,0.2355332069999995,0.235919260000001,9.387395367e+44,5.4998191685164e+42,5.666347948123131e+42,4.2469005420000004e+45,4.596345406918847e+43,4.843660856037525e+43,9.92492,0.2889896539999999,0.2960857400000005,6.82644719e+44,5.0471242344525404e+42,5.58782356571163e+42,3.0884462250000004e+45,3.603025610415749e+43,3.852268751076174e+43
RXJ1720.1+2638,6.0226,0.0394155879999997,0.0394408890000006,5.901930682e+44,2.9185871505087805e+42,2.38183758383873e+42,2.127055309e+45,1.3254938781250152e+43,9.573310822072792e+42,7.37878,0.1147687570000002,0.1147308660000003,2.601042051e+44,2.3268135314286502e+42,1.7211554399934e+42,1.0315453610000001e+45,9.17833539106871e+42,1.168401201726742e+43,6.00237,0.0391484020000003,0.0391641219999998,5.771982878e+44,3.1857808104933506e+42,2.2141025590799003e+42,2.0756758450000002e+45,1.0097063010356521e+43,1.065673355841886e+43,7.33196,0.1062242129999999,0.1101672260000006,2.6316048390000004e+44,1.6576190829429302e+42,2.04687506770526e+42,1.038656352e+45,1.069368495792921e+43,8.904581406505681e+42
Abell2261,7.5007,0.1006975470000002,0.1009569150000002,6.866749773e+44,1.9415485761354372e+43,1.1981590838106472e+43,2.7346060460000002e+45,6.214457967946765e+43,4.943112913722058e+43,7.49383,0.1579669529999998,0.1586118199999999,3.888592819e+44,1.2976502296063332e+43,1.6469794619924822e+43,1.543623403e+45,5.77176986227773e+43,4.82126173579014e+43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
