name,z,ra,dec,chandra_id,xmm_obsid,r2500,r1000,r500,c_m2500,c_m2500_err,c_m1000,c_m1000_err,c_m500,c_m500_err,x_m2500,x_m2500_err,x_m1000,x_m1000_err,x_m500,x_m500_err,c_mg2500,c_mg2500_err,c_mg1000,c_mg1000_err,c_mg500,c_mg500_err,x_mg2500,x_mg2500_err,x_mg1000,x_mg1000_err,x_mg500,x_mg500_err,x_Tx500ce,x_Tx500ce-,x_Tx500ce+,x_Lxbol,x_Lxbol_err,r500wl
Abell2009,0.153,225.081,21.3695,10438,nan,550.0,910.0,1280.0,287000000000000.0,57999999999999.99,508000000000000.0,133000000000000.0,733000000000000.0,247000000000000.03,,,,,,,26100000000000.0,2400000000000.0,48100000000000.0,4900000000000.0,70800000000000.0,8200000000000.0,,,,,,,,,,,,
ZwCl1459.4+4240,0.289,225.337,42.3493,7899,0402250201,440.0,730.0,1080.0,189000000000000.0,149000000000000.0,365000000000000.0,281000000000000.0,559000000000000.0,399000000000000.0,168000000000000.0,10000000000000.0,354000000000000.0,22000000000000.0,565000000000000.0,36000000000000.0,19000000000000.0,7600000000000.0,41200000000000.0,15100000000000.0,67500000000000.01,18700000000000.0,18000000000000.0,100000000000.0,41500000000000.0,200000000000.0,68400000000000.01,300000000000.0,6.405,0.4740000000000002,0.5359999999999996,11.682,6.045,0.965
RXCJ1504.1-0248,0.215,226.031,-2.80422,5793,0401040101,610.0,1010.0,1470.0,416000000000000.0,128000000000000.0,795000000000000.0,360000000000000.0,1315000000000000.0,711000000000000.0,365000000000000.0,15000000000000.0,710000000000000.0,42000000000000.0,1093000000000000.0,82000000000000.0,48500000000000.0,6600000000000.0,85800000000000.0,17900000000000.0,130100000000000.0,33700000000000.004,52500000000000.0,100000000000.0,92800000000000.0,200000000000.0,134700000000000.0,400000000000.0,7.415,0.24800000000000022,0.32699999999999996,79.266,6.168,1.225
Abell2111,0.2289999999999999,234.924,34.418,11726,nan,470.0,800.0,1170.0,201000000000000.0,69999999999999.99,394000000000000.0,127000000000000.0,599000000000000.0,189000000000000.0,,,,,,,18100000000000.0,4000000000000.0,42700000000000.0,7400000000000.0,71900000000000.0,11000000000000.0,,,,,,,,,,,,
Abell2204,0.152,248.195,5.57578,"6104,7940","0306490201,0306490301,0306490401",710.0,1100.0,1490.0,614000000000000.0,90000000000000.0,908000000000000.0,145000000000000.0,1116000000000000.0,175000000000000.0,490000000000000.06,39000000000000.0,802000000000000.0,81000000000000.0,1066000000000000.0,172000000000000.0,52900000000000.0,3599999999999.9995,90500000000000.0,6200000000000.0,127899999999999.98,8200000000000.0,58800000000000.0,300000000000.0,100400000000000.0,200000000000.0,138500000000000.0,800000000000.0,8.478,0.3439999999999994,0.42600000000000016,48.846,6.002,1.455
Abell2219,0.228,250.088,46.7051,896,0605000501,710.0,1200.0,1750.0,268000000000000.03,45000000000000.0,466000000000000.0,75000000000000.0,680000000000000.0,108000000000000.0,425000000000000.0,31000000000000.0,880000000000000.1,97000000000000.0,1435000000000000.0,204000000000000.0,61200000000000.0,3900000000000.0,40600000000000.0,2800000000000.0,61200000000000.0,3900000000000.0,68999999999999.99,300000000000.0,144800000000000.0,1000000000000.0,232399999999999.97,2300000000000.0,10.133,0.6989999999999998,0.8340000000000014,47.247,8.408999999999999,1.354
RXJ1720.1+2638,0.1639999999999999,260.042,26.625,"4361,3224","0500670201,0500670301,0500670401",560.0,880.0,1230.0,306000000000000.0,38000000000000.0,471000000000000.0,81000000000000.0,638000000000000.0,172000000000000.0,277000000000000.0,10000000000000.0,479000000000000.0,33000000000000.0,697000000000000.0,68000000000000.01,29600000000000.0,1700000000000.0002,52100000000000.0,3800000000000.0,77100000000000.0,8300000000000.0,30600000000000.0,100000000000.0,55000000000000.01,100000000000.0,82100000000000.0,300000000000.0,7.446,0.33499999999999996,0.4480000000000004,25.79,6.843999999999999,1.142
Abell2261,0.2239999999999999,260.613,32.1323,5007,0093030301,580.0,900.0,1220.0,366000000000000.0,100000000000000.0,546000000000000.0,152000000000000.0,675000000000000.0,189000000000000.0,,,,,,,38300000000000.0,5000000000000.0,68799999999999.99,8800000000000.0,100400000000000.0,12700000000000.0,,,,,,,,,,,,
RXCJ2102.1-2431,0.188,315.541,-24.5335,nan,0652010301,430.0,700.0,1000.0,,,,,,,135000000000000.02,13000000000000.0,236000000000000.0,34000000000000.004,352000000000000.0,61000000000000.0,,,,,,,14600000000000.0,600000000000.0,28000000000000.004,1700000000000.0002,45000000000000.0,3300000000000.0,5.317,0.37400000000000055,0.4609999999999994,12.494,4.9670000000000005,0.982
RXJ2129.6+0005,0.235,322.416,0.0886389,"9370,552",0093030201,480.0,760.0,1080.0,198000000000000.0,25000000000000.0,325000000000000.0,39000000000000.0,465000000000000.06,56000000000000.01,181000000000000.0,7000000000000.001,295000000000000.0,11000000000000.0,422000000000000.0,16000000000000.0,24900000000000.0,1500000000000.0,47500000000000.0,2500000000000.0,74900000000000.0,3700000000000.0,25400000000000.0,0.0,47600000000000.0,100000000000.0,74400000000000.0,200000000000.0,5.783,0.2840000000000007,0.34999999999999964,24.509,5.25,1.05
Abell2390,0.2319999999999999,328.404,17.6957,4193,0111270101,640.0,1100.0,1590.0,268000000000000.03,45000000000000.0,466000000000000.0,75000000000000.0,680000000000000.0,108000000000000.0,410000000000000.0,30000000000000.0,880000000000000.1,92000000000000.0,1367000000000000.0,209000000000000.0,61200000000000.0,3900000000000.0,40600000000000.0,2800000000000.0,61200000000000.0,3900000000000.0,58300000000000.0,300000000000.0,122500000000000.02,700000000000.0,186100000000000.0,2300000000000.0,10.787,0.8440000000000012,0.9550000000000001,56.825,8.576,1.444
Abell2485,0.247,342.128,-16.1088,10439,nan,460.0,780.0,1110.0,180000000000000.0,43000000000000.0,358000000000000.0,115999999999999.98,532000000000000.0,208000000000000.0,,,,,,,16300000000000.0,2000000000000.0,35400000000000.0,5100000000000.0,55800000000000.01,8699999999999.999,,,,,,,,,,,,
Abell2537,0.297,347.092,-2.19122,9372,"0042341201,0205330501",510.0,830.0,1180.0,273000000000000.0,74000000000000.0,460000000000000.0,121000000000000.0,665000000000000.0,173000000000000.0,251000000000000.0,23000000000000.0,473000000000000.06,45000000000000.0,720000000000000.0,73000000000000.0,24200000000000.0,3300000000000.0,47000000000000.0,5600000000000.0,73900000000000.0,8100000000000.0,24200000000000.0,200000000000.0,47500000000000.0,400000000000.0,72500000000000.0,899999999999.9999,7.023,1.0949999999999998,1.5540000000000003,,,1.321
Abell2552,0.3,347.888,3.63403,"11730,3288",nan,530.0,880.0,1250.0,304000000000000.0,69999999999999.99,534000000000000.0,113999999999999.98,781000000000000.0,164000000000000.0,,,,,,,31600000000000.0,3700000000000.0,64400000000000.0,6400000000000.0,102200000000000.0,9400000000000.0,,,,,,,,,,,,
Abell2631,0.271,354.411,0.271,"11728,3248",0042341301,440.0,820.0,1200.0,170000000000000.0,43000000000000.0,421000000000000.0,93000000000000.0,678000000000000.0,148000000000000.0,196000000000000.0,25000000000000.0,512000000000000.0,60000000000000.0,851000000000000.0,98000000000000.0,23000000000000.0,3900000000000.0,62600000000000.0,6800000000000.001,102699999999999.98,8800000000000.0,22300000000000.0,200000000000.0,60100000000000.0,500000000000.0,97000000000000.0,800000000000.0,6.912,0.7320000000000002,0.9690000000000003,17.796,5.97,1.15
Abell2645,0.251,355.319,-9.02317,11769,nan,470.0,800.0,1150.0,223000000000000.0,108000000000000.0,405000000000000.0,180000000000000.0,598000000000000.0,259000000000000.0,,,,,,,54100000000000.0,11700000000000.0,32800000000000.0,7900000000000.0,54100000000000.0,11700000000000.0,,,,,,,,,,,,
