name,ra,dec,z,sample,alt_name,alt_samp
XLSSC-508,355.465,-53.145,0.539,XXL-100-GC,,
XLSSC-540,355.632,-56.353,0.414,XXL-100-GC,,
XLSSC-539,355.797,-55.881,0.184,XXL-100-GC,,
XLSSC-509,356.461,-54.044,0.633,XXL-100-GC,,
XLSSC-510,357.539,-55.334,0.394,XXL-100-GC,,
XLSSC-511,357.753,-55.371,0.13,XXL-100-GC,,
XLSSC-114,30.425,-5.031,0.234,XXL-100-GC,,
XLSSC-113,30.561,-7.009,0.05,XXL-100-GC,,
XLSSC-115,32.681,-6.588,0.043,XXL-100-GC,,
XLSSC-550,352.206,-52.577,0.109,XXL-100-GC,,
XLSSC-551,355.444,-56.675,0.475,XXL-100-GC,,
XLSSC-118,33.692,-3.941,0.14,XXL-100-GC,,
XLSSC-552,350.629,-54.269,0.152,XXL-100-GC,,
Abell2697,0.799917,-6.09322,0.2319999999999999,LoCuSS,SDSSXCS-124,SDSSRM-XCS
Abell0068,9.27546,9.15844,0.255,LoCuSS,SDSSXCS-209,SDSSRM-XCS
Abell2813,10.853,-20.6236,0.292,LoCuSS,,
Abell0115S,14.0012,26.3424,0.1969999999999999,LoCuSS,SDSSXCS-71,SDSSRM-XCS
Abell141,16.3992,-24.6811,0.23,LoCuSS,,
ZwCl0104.4+0048,16.7064,1.05611,0.254,LoCuSS,SDSSXCS-11331,SDSSRM-XCS
Abell0209,22.9722,-13.6122,0.206,LoCuSS,,
Abell0267,28.1763,1.01136,0.23,LoCuSS,SDSSXCS-239,SDSSRM-XCS
Abell0291,30.4291,-2.19619,0.196,LoCuSS,SDSSXCS-7783,SDSSRM-XCS
Abell0383,42.0141,-3.52933,0.188,LoCuSS,SDSSXCS-572,SDSSRM-XCS
Abell0521,73.5343,-10.2399,0.248,LoCuSS,,
Abell0586,113.086,31.6311,0.171,LoCuSS,SDSSXCS-22,SDSSRM-XCS
Abell0611,120.236,36.056,0.288,LoCuSS,,
Abell0697,130.74,36.3667,0.282,LoCuSS,SDSSXCS-31,SDSSRM-XCS
ZwCl0857.9+2107,135.154,20.8949,0.235,LoCuSS,SDSSXCS-9803,SDSSRM-XCS
Abell0750,137.303,10.9741,0.163,LoCuSS,SDSSXCS-5,SDSSRM-XCS
Abell0773,139.469,51.7273,0.217,LoCuSS,SDSSXCS-13,SDSSRM-XCS
Abell0781,140.103,30.5031,0.298,LoCuSS,,
ZwCl0949.6+5207,148.205,51.8846,0.214,LoCuSS,,
Abell0901,148.988,-9.98464,0.163,LoCuSS,,
Abell0907,149.592,-11.0643,0.1669999999999999,LoCuSS,,
Abell0963,154.265,39.0498,0.205,LoCuSS,SDSSXCS-15984,SDSSRM-XCS
ZwCl1021.0+0426,155.915,4.18631,0.291,LoCuSS,SDSSXCS-667,SDSSRM-XCS
Abell1423,179.322,33.6109,0.213,LoCuSS,,
Abell1451,180.822,-21.5372,0.1989999999999999,LoCuSS,,
RXCJ1212.3-1816,183.075,-18.3087,0.2689999999999999,LoCuSS,,
ZwCl1231.4+1007,188.592,9.78611,0.2289999999999999,LoCuSS,SDSSXCS-225,SDSSRM-XCS
Abell1682,196.712,46.5568,0.226,LoCuSS,,
Abell1689,197.873,-1.34175,0.183,LoCuSS,SDSSXCS-3,SDSSRM-XCS
Abell1758N,203.182,50.5458,0.28,LoCuSS,,
Abell1763,203.826,41.0002,0.228,LoCuSS,SDSSXCS-6,SDSSRM-XCS
Abell1835,210.258,2.87856,0.253,LoCuSS,SDSSXCS-43,SDSSRM-XCS
Abell1914,216.504,37.8259,0.171,LoCuSS,SDSSXCS-65,SDSSRM-XCS
ZwCl1454.8+2233,224.313,22.3423,0.258,LoCuSS,SDSSXCS-2288,SDSSRM-XCS
Abell2009,225.081,21.3695,0.153,LoCuSS,SDSSXCS-78,SDSSRM-XCS
ZwCl1459.4+4240,225.337,42.3493,0.289,LoCuSS,,
RXCJ1504.1-0248,226.031,-2.80422,0.215,LoCuSS,,
Abell2111,234.924,34.418,0.2289999999999999,LoCuSS,SDSSXCS-19,SDSSRM-XCS
Abell2204,248.195,5.57578,0.152,LoCuSS,,
Abell2219,250.088,46.7051,0.228,LoCuSS,,
RXJ1720.1+2638,260.042,26.625,0.1639999999999999,LoCuSS,SDSSXCS-480,SDSSRM-XCS
Abell2261,260.613,32.1323,0.2239999999999999,LoCuSS,SDSSXCS-14,SDSSRM-XCS
RXCJ2102.1-2431,315.541,-24.5335,0.188,LoCuSS,,
RXJ2129.6+0005,322.416,0.0886389,0.235,LoCuSS,,
Abell2390,328.404,17.6957,0.2319999999999999,LoCuSS,SDSSXCS-29,SDSSRM-XCS
Abell2485,342.128,-16.1088,0.247,LoCuSS,,
Abell2537,347.092,-2.19122,0.297,LoCuSS,SDSSXCS-51,SDSSRM-XCS
Abell2552,347.888,3.63403,0.3,LoCuSS,,
Abell2631,354.411,0.271,0.271,LoCuSS,,
Abell2645,355.319,-9.02317,0.251,LoCuSS,SDSSXCS-147,SDSSRM-XCS
