name,MEM_MATCH_ID,xapa_ra,xapa_dec,z,r2500,Tx,Tx-,Tx+,Lx52,Lx52-,Lx52+,Lx,Lx-,Lx+,richness,richness_err,XCS_NAME
SDSSXCS-6245,6245,145.93562,16.739341,0.18503435,1.4831713381698488,2.07894,0.1304145717033691,0.2560596322966306,0.07351242237,0.002899032148459,0.0030049098011652,0.1754650053,0.0084935565505346,0.0088126229867051,35.91442,3.2383535,XMMXCS J094344.5+164421.6
SDSSXCS-21847,21847,146.37836,9.775783,0.23818891,1.2773811542639464,2.44737,0.1583270663376463,0.1576817376623536,0.04703269648,0.0011433984979589,0.0010902252931619,0.1181071443,0.0052525960201225,0.0047773304344844,24.854567000000003,2.7714293,XMMXCS J094530.8+094632.8
SDSSXCS-3333,3333,147.3241,0.32764816,0.3660604,1.1774636253929758,3.43031,1.128927958910034,1.9860985680899648,0.04218212601,0.0063563417507596,0.0066612975974198,0.1201347972,0.0265765462086106,0.026686974834731,55.28824,4.4013977,XMMXCS J094917.7+001939.5
SDSSXCS-27,27,147.46511999999996,17.119218,0.38324508,1.670855947977053,7.88895,0.5995847390632321,0.6111297799367676,4.775745774,0.1017567948805435,0.1089425929919025,20.70057391,0.9953292771685548,0.8836483425664099,185.38266,7.1144266,XMMXCS J094951.6+170709.1
SDSSXCS-41395,41395,147.77361000000005,39.295664,0.49269772,0.4467802999518196,1.01439,0.2181079671602539,0.2774431542397462,0.03670908365,0.011140002939367,0.0095860126979984,0.06800346706,0.0188620873730007,0.0178866853878908,32.543076,6.388531,XMMXCS J095105.6+391744.3
SDSSXCS-52433,52433,148.48436,1.4089602,0.46781614,0.5868823098867394,1.65805,0.1839875090629272,0.2897692189370728,0.04267552428,0.0043062292619615,0.0051112111524595,0.0953970065,0.0109850730107327,0.0141279858863972,35.45677,6.3593135,XMMXCS J095356.2+012432.2
SDSSXCS-5600,5600,148.58355,17.597233,0.36933586,1.0458538157453783,3.15401,0.4389604474493409,0.613970164550659,0.2773515466,0.0153081310326738,0.0157674923959978,0.7633350084,0.0692362738762425,0.0599677751561029,45.341995,3.6041224,XMMXCS J095420.0+173550.0
SDSSXCS-13525,13525,149.13448,-0.28899887,0.4849685,0.7133450055947631,2.3264,0.3892048575802003,0.7859773014197997,0.05680273193,0.0072332861112147,0.0111151585661957,0.1403479083,0.0192049534347013,0.02721858135279,42.85544,7.4233613,XMMXCS J095632.2-001720.3
SDSSXCS-95001,95001,149.75531,2.794571,0.5010421,0.5347124774858273,1.62591,0.3070542967164307,0.3959355662835695,0.019570923,0.0032400990542928,0.0049713810789151,0.04345258447,0.0094802531498991,0.011578730922807,23.252794,5.3098845,XMMXCS J095901.2+024740.4
SDSSXCS-22748,22748,150.22343,15.675857,0.3122961,1.0199549196746913,2.32328,0.2728495010540772,0.278157987945923,0.2387276027,0.0108166137979987,0.0134095463047461,0.5895941278,0.0425051356957915,0.0446142879141936,20.827253,2.533284,XMMXCS J100053.6+154033.0
SDSSXCS-73690,73690,150.55936,32.949614000000004,0.41452673,0.610810161784066,1.64642,0.2575827519836426,0.5333707720163576,0.06544115016,0.0072785693528156,0.0102926438838645,0.1459260634,0.0212442186652697,0.0254861343342299,23.405344,3.3474095,XMMXCS J100214.2+325658.6
SDSSXCS-9,9,150.61494,20.51727,0.3236771,1.4407954453930343,4.73048,0.408361204091797,0.4178600859082033,0.8117752467,0.0246128658231976,0.0227059539767957,2.678237838,0.1351680119355482,0.1345934278260645,151.36407,5.7609115,XMMXCS J100227.5+203102.1
SDSSXCS-2031,2031,150.76943,32.894261,0.40583712,1.0845841875574438,3.93773,0.1698987549288331,0.1730117980711671,0.8388843771,0.0139376578671434,0.0150992152008387,2.537522705,0.0626121894750642,0.062872903349755,77.94188,5.953691,XMMXCS J100304.6+325339.3
SDSSXCS-18556,18556,151.84083,38.203185,0.46327,0.7074298045961885,1.99518,0.2366993947955933,0.3814656192044068,0.0999966721,0.005971077764946,0.0067390818520696,0.2357668088,0.0180603450574491,0.0216795301185328,43.2063,6.1240726,XMMXCS J100721.8+381211.4
SDSSXCS-8060,8060,151.92678999999995,38.012805,0.10499291,3.1010405922345927,3.10635,0.0514345140683594,0.0516047279316405,0.1340676841,0.0007973024715184,0.0007015274980902,0.3667790889,0.0032904970615765,0.003378291282725,24.244368,1.9738064,XMMXCS J100742.4+380046.1
SDSSXCS-9812,9812,152.83188,53.575927,0.40748844,0.9592408011189416,3.20586,0.5259627615208742,0.8742297894791262,0.1523457632,0.0093739959080159,0.0094212622617852,0.4220185432,0.0401143361884359,0.0357143524143651,37.684,3.801265,XMMXCS J101119.6+533433.3
SDSSXCS-15984,15984,154.26426999999995,39.047269,0.2051836,2.4764881070189864,6.12654,0.0792084630209961,0.0796553069790038,3.226461628,0.0121022837441437,0.0132615551154939,12.15918768,0.0897774632485646,0.0801876619305534,31.79558,3.9185114,XMMXCS J101703.4+390250.1
SDSSXCS-75,75,154.39996000000005,59.563959,0.2890586,1.9849036976151357,7.2704,0.5715522963022464,0.5395909156977536,1.287243936,0.0209292186300644,0.0240332649115386,5.329256578,0.2262031258231678,0.2147908816938812,123.76782,4.942522,XMMXCS J101735.9+593350.2
SDSSXCS-62687,62687,156.0009,4.038813200000001,0.5286223,0.6003442708577363,2.01418,0.1629537919920654,0.1742349710079347,0.09185535648,0.004247377309956,0.0050323642759921,0.2171799312,0.013270446509244,0.0139032086977001,36.37207,8.922774,XMMXCS J102400.2+040219.7
SDSSXCS-12994,12994,156.63168000000005,12.810044,0.41188028,0.6410139416354144,6.64714,4.128577779092529,8.39069716390747,0.1057857858,0.020971636145082,0.0162115747735059,0.4170233577,0.1787104098760866,0.1254403409067139,41.131622,4.61508,XMMXCS J102631.6+124836.1
SDSSXCS-35739,35739,157.5294,-3.1117227,0.43898547,0.7519880804396037,2.32831,0.2455026038173828,0.3161228141826173,0.1147126847,0.0071958241378072,0.0073145322764602,0.2835017473,0.0224759987805354,0.0224137988050266,30.087023,4.453055,XMMXCS J103007.0-030642.2
SDSSXCS-38522,38522,158.38446000000005,58.24274499999999,0.4248953,0.7695371826957264,2.15897,0.6333731235689697,1.2225992514310304,0.1428226608,0.0209384089844078,0.0447695713543727,0.3449303697,0.0680620915894446,0.1040379566361953,26.547869,3.9549248,XMMXCS J103332.2+581433.8
