name,MEM_MATCH_ID,xapa_ra,xapa_dec,z,r500,r500-,r500+,Tx_500,Tx_500-,Tx_500+,Lx52_500,Lx52_500-,Lx52_500+,Lx_500,Lx_500-,Lx_500+,r2500,r2500-,r2500+,Tx_2500,Tx_2500-,Tx_2500+,Lx52_2500,Lx52_2500-,Lx52_2500+,Lx_2500,Lx_2500-,Lx_2500+,richness,richness_err,XCS_NAME
SDSSXCS-7190,7190,30.329494,-6.831854700000001,0.3445764,505.6781118101693,39.60090109968403,52.3403659981733,1.94228,0.237597604,0.3214319330000001,0.1711436381,0.0114650912082324,0.0154344772297065,0.4004243217,0.0402735621011792,0.0417645256247449,247.0874737797424,18.10074887674569,18.70344032973945,2.02192,0.2522829017440184,0.2613264392559813,0.1083784975,0.0075002909853545,0.0087527645669791,0.2565369753,0.0221244667154434,0.0260134334409189,43.11477,3.6073697,XMMXCS J020119.0-064954.6
SDSSXCS-7783,7783,30.429572,-2.1962592,0.19421071,827.6911996130351,14.487070687937226,14.504385482811829,3.52135,0.054280308,0.0545411640000002,2.762945369,0.0123318680577275,0.0131496590658697,7.956070991,0.0729359841136938,0.0740448024800892,372.2150678488665,4.688290478209963,4.702904625876071,3.58162,0.0447000219510496,0.0451431720489501,2.305886035,0.0118602013554189,0.0103355572500913,6.688211958,0.0457721614999639,0.044225671022045,35.8534,3.2273033,XMMXCS J020143.0-021146.5
SDSSXCS-5743,5743,31.351861,-5.7303361,0.2942178,904.4306919052364,71.56560884262626,103.46929302324756,4.07537,0.5965920910000002,0.8690311019999992,0.514014875,0.0265694602901794,0.0229788999787492,1.579707997,0.1454236433487648,0.1267120609504246,347.1091481803513,21.611099601038777,26.38886916097555,3.48432,0.3783097133082274,0.4642945096917725,0.2583766015,0.0106813230260364,0.0118160154927066,0.7406925228,0.057459363656122,0.0586750502058764,37.119568,3.1122668,XMMXCS J020524.4-054349.2
SDSSXCS-1131,1131,33.111835,-5.6262911,0.29934615,942.8931701895706,104.81546319616064,150.07788309641802,5.60793,1.0105860469999994,1.453640816,0.6477963136,0.0285522535924697,0.0347950240231229,2.331404686,0.3646442998991064,0.3390216044811844,413.5261921891705,27.485133661155764,28.767883393771942,4.78021,0.5570604331579592,0.5834456888420414,0.4656446064,0.0158160335185451,0.0166207471014103,1.544200227,0.1195485602384083,0.113030347893837,65.67688000000001,3.9442868,XMMXCS J021226.8-053734.6
SDSSXCS-29799,29799,33.116431,-6.077833999999998,0.321067,427.2536223030547,34.226175482463994,34.77579184211082,1.24752,0.1631290389999999,0.166195032,0.07284714745,0.0119462945823365,0.0094004876042706,0.1468417316,0.0248016882422478,0.025075319352771,256.7786777597566,23.60057352619885,29.28552625870315,2.40725,0.3563031875207518,0.4451692324792482,0.1299820221,0.0086687199332842,0.0097378631152728,0.3246610337,0.0292623355878588,0.0382685243308771,22.26122,2.5214868,XMMXCS J021227.9-060440.2
SDSSXCS-852,852,33.671952000000005,-4.5538512,0.14673696,1027.0208962271272,21.741575182552552,21.741482240242785,5.03595,0.1420959559999994,0.1420949150000003,0.9397754324,0.0067439565216873,0.0066320716609717,3.19922389,0.0563151825050232,0.0557920325472856,,,,,,,,,,,,,56.188286,3.5223145,XMMXCS J021441.2-043313.8
SDSSXCS-5830,5830,34.052451,-4.2406364000000005,0.1525001,636.7734291094263,45.6515674895159,58.96925477763876,2.55567,0.2798347030000001,0.3681882039999999,0.1074733554,0.0042828334717627,0.0041796019225846,0.273790762,0.0203011814945268,0.0191835534904893,288.7631192153997,10.92270528277792,17.714560282890922,2.18039,0.1289146711340332,0.2277455948659668,0.06500882152,0.001944741156038,0.002662662856171,0.1574702485,0.0086333710982581,0.0091308330063241,24.564722,2.1817567,XMMXCS J021612.5-041426.2
SDSSXCS-5977,5977,35.868932,-8.868980699999998,0.16795832,778.0682064602911,74.4187716794623,105.39107685572444,3.14025,0.5175380170000001,0.7385558840000002,0.1657805203,0.0093393036733275,0.0096235926644388,0.4554747458,0.0467607178758179,0.0515742281400424,334.561621820453,21.800325684287525,21.976556458294176,2.96134,0.3303456515615233,0.3331319564384767,0.1225073443,0.0046812340184514,0.0052112510816101,0.3290312154,0.0219988896460522,0.0213777120367595,26.303790000000003,2.1013763,XMMXCS J022328.5-085208.3
SDSSXCS-16227,16227,36.300933,-6.3847585,0.19789001,811.0339093139037,71.81154250417059,105.18683185641385,3.44125,0.5275038950000002,0.7791369929999998,0.3357032715,0.0185269029199535,0.0184768629005663,0.9573559845,0.1199039415879938,0.1160951399103574,326.4129093961677,24.84891642698097,27.04070943811727,2.83869,0.3773784714957275,0.4117457435042726,0.2005788239,0.0104405864926657,0.009525840495682,0.5302763857,0.0460121565778629,0.0443690905715834,22.642595,2.2254574,XMMXCS J022512.2-062305.1
SDSSXCS-2984,2984,36.432967,-3.1964353,0.14258845,786.3005135499329,77.12451741548868,85.72664101914204,3.63841,0.5645075829999997,0.6291885489999998,0.1638258976,0.0067478955543439,0.0066733019340639,0.4784089931,0.0497346872194566,0.0472147705785576,,,,,,,,,,,,,34.480453000000004,2.3746781,XMMXCS J022543.9-031147.1
SDSSXCS-6955,6955,36.45483,-5.894147599999998,0.22277066,668.9936764375799,47.89903468096294,61.95066382391251,2.41024,0.2990632569999998,0.392930255,0.2092423316,0.0125137302923225,0.0145231660352506,0.5228387759,0.0484311884143836,0.0555424422155043,321.8889306664823,18.08623061122306,24.44011054401699,2.88631,0.2765196135554197,0.3789302814445801,0.1647115201,0.0063015657114969,0.006789411210813,0.4381388568,0.0298017943891861,0.0334063667054758,32.131187,2.8320866,XMMXCS J022549.1-055338.9
SDSSXCS-64824,64824,36.843741,-3.3619065000000004,0.3426217,588.6430363117345,21.690705160487862,29.462306309613805,2.24581,0.1201594240000001,0.1800569429999998,0.2116418969,0.005883207743157,0.0065841703328792,0.5172443558,0.0237202455710009,0.0231142429273173,277.9987443539287,9.548035469972705,9.606372285649917,2.38159,0.1301065525263673,0.1311353504736327,0.1499491324,0.0034689173615773,0.0035449289725422,0.3732458285,0.0117767935199085,0.0120047828316324,22.62734,2.7154727,XMMXCS J022722.4-032142.8
SDSSXCS-8366,8366,37.655177,-4.991535400000001,0.3052906,676.6344238611466,59.62764362016807,94.15414772251552,2.28778,0.386970266,0.6194295149999998,0.2310881768,0.0160864711111389,0.0253542958579924,0.5679894781,0.0588673291989308,0.0826109026944801,246.8030210384144,17.423496243565275,24.854478481491768,1.88058,0.2285803004252928,0.3337312285747069,0.06615686805,0.0052496086898389,0.0080767256748759,0.1533998851,0.0132200100325748,0.0186726790315663,35.273712,3.6453307,XMMXCS J023037.2-045929.5
